City,State,year_number,month_number,month_period,total_incidents,total_victims
ASHTON,MD,2016,7,2016-07,6,6.0
ASHTON,MD,2016,8,2016-08,5,5.0
ASHTON,MD,2016,9,2016-09,3,3.0
ASHTON,MD,2016,10,2016-10,2,2.0
ASHTON,MD,2016,11,2016-11,2,2.0
ASHTON,MD,2016,12,2016-12,2,2.0
ASHTON,MD,2017,1,2017-01,2,2.0
ASHTON,MD,2017,2,2017-02,4,4.0
ASHTON,MD,2017,3,2017-03,6,6.0
ASHTON,MD,2017,4,2017-04,5,5.0
ASHTON,MD,2017,5,2017-05,13,13.0
ASHTON,MD,2017,6,2017-06,4,4.0
ASHTON,MD,2017,7,2017-07,3,3.0
ASHTON,MD,2017,8,2017-08,5,5.0
ASHTON,MD,2017,9,2017-09,6,6.0
ASHTON,MD,2017,10,2017-10,5,5.0
ASHTON,MD,2017,11,2017-11,4,4.0
ASHTON,MD,2017,12,2017-12,1,1.0
ASHTON,MD,2018,1,2018-01,4,4.0
ASHTON,MD,2018,2,2018-02,2,2.0
ASHTON,MD,2018,3,2018-03,3,3.0
ASHTON,MD,2018,4,2018-04,1,1.0
ASHTON,MD,2018,5,2018-05,6,6.0
ASHTON,MD,2018,6,2018-06,3,3.0
ASHTON,MD,2018,7,2018-07,2,2.0
ASHTON,MD,2018,8,2018-08,4,4.0
ASHTON,MD,2018,9,2018-09,7,7.0
ASHTON,MD,2018,10,2018-10,1,1.0
ASHTON,MD,2018,11,2018-11,1,1.0
ASHTON,MD,2018,12,2018-12,3,3.0
ASHTON,MD,2019,1,2019-01,3,3.0
ASHTON,MD,2019,2,2019-02,3,3.0
ASHTON,MD,2019,3,2019-03,5,5.0
ASHTON,MD,2019,4,2019-04,3,3.0
ASHTON,MD,2019,6,2019-06,5,5.0
ASHTON,MD,2019,7,2019-07,4,4.0
ASHTON,MD,2019,8,2019-08,5,5.0
ASHTON,MD,2019,9,2019-09,2,2.0
ASHTON,MD,2019,10,2019-10,1,1.0
ASHTON,MD,2019,11,2019-11,6,6.0
ASHTON,MD,2019,12,2019-12,3,3.0
ASHTON,MD,2020,2,2020-02,4,4.0
ASHTON,MD,2020,3,2020-03,4,4.0
ASHTON,MD,2020,4,2020-04,2,2.0
ASHTON,MD,2020,5,2020-05,4,4.0
ASHTON,MD,2020,6,2020-06,5,5.0
ASHTON,MD,2020,7,2020-07,3,3.0
ASHTON,MD,2020,8,2020-08,5,5.0
ASHTON,MD,2020,9,2020-09,10,10.0
ASHTON,MD,2020,10,2020-10,7,7.0
ASHTON,MD,2020,11,2020-11,5,5.0
ASHTON,MD,2020,12,2020-12,6,6.0
ASHTON,MD,2021,1,2021-01,3,3.0
ASHTON,MD,2021,2,2021-02,2,2.0
ASHTON,MD,2021,3,2021-03,6,6.0
ASHTON,MD,2021,4,2021-04,9,9.0
ASHTON,MD,2021,5,2021-05,7,7.0
ASHTON,MD,2021,6,2021-06,4,4.0
ASHTON,MD,2021,7,2021-07,5,5.0
ASHTON,MD,2021,8,2021-08,7,7.0
ASHTON,MD,2021,9,2021-09,6,6.0
ASHTON,MD,2021,10,2021-10,6,6.0
