City,State,crime_category_primary,crime_category_secondary,offense_count,incident_count
ASHTON,MD,Crime Against Not a Crime,Runaway,8,8
ASHTON,MD,Crime Against Person,Aggravated Assault,3,3
ASHTON,MD,Crime Against Person,Forcible Fondling,7,7
ASHTON,MD,Crime Against Person,Forcible Rape,2,1
ASHTON,MD,Crime Against Person,Intimidation,2,2
ASHTON,MD,Crime Against Person,Simple Assault,29,29
ASHTON,MD,Crime Against Property,All other Larceny,31,31
ASHTON,MD,Crime Against Property,Burglary/Breaking and Entering,25,25
ASHTON,MD,Crime Against Property,Counterfeiting/Forgery,11,11
ASHTON,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,13,13
ASHTON,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,23,22
ASHTON,MD,Crime Against Property,Embezzlement,2,2
ASHTON,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,27,27
ASHTON,MD,Crime Against Property,Hacking/Computer Invasion,1,1
ASHTON,MD,Crime Against Property,Identity Theft,42,42
ASHTON,MD,Crime Against Property,Impersonation,2,2
ASHTON,MD,Crime Against Property,Motor Vehicle Theft,18,18
ASHTON,MD,Crime Against Property,Robbery,2,2
ASHTON,MD,Crime Against Property,Shoplifting,12,12
ASHTON,MD,Crime Against Property,Theft from Building,14,14
ASHTON,MD,Crime Against Property,Theft From Motor Vehicle,56,56
ASHTON,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,11,11
ASHTON,MD,Crime Against Society,All Other Offenses,190,189
ASHTON,MD,Crime Against Society,Disorderly Conduct,2,2
ASHTON,MD,Crime Against Society,Driving Under the Influence,26,26
ASHTON,MD,Crime Against Society,Drug Equipment Violations,1,1
ASHTON,MD,Crime Against Society,Drug/Narcotic Violations,8,8
ASHTON,MD,Crime Against Society,"Family Offenses, NonViolent",1,1
ASHTON,MD,Crime Against Society,Liquor Law Violations,1,1
ASHTON,MD,Crime Against Society,Trespass of Real Property,2,2
ASHTON,MD,Crime Against Society,Weapon Law Violations,1,1
BARNESVILLE,MD,Crime Against Person,Aggravated Assault,6,6
BARNESVILLE,MD,Crime Against Person,Simple Assault,4,4
BARNESVILLE,MD,Crime Against Property,All other Larceny,2,2
BARNESVILLE,MD,Crime Against Property,Burglary/Breaking and Entering,2,2
BARNESVILLE,MD,Crime Against Property,Counterfeiting/Forgery,1,1
BARNESVILLE,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,1,1
BARNESVILLE,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,6,6
BARNESVILLE,MD,Crime Against Property,Embezzlement,1,1
BARNESVILLE,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,2,2
BARNESVILLE,MD,Crime Against Property,Identity Theft,3,3
BARNESVILLE,MD,Crime Against Property,Motor Vehicle Theft,2,2
BARNESVILLE,MD,Crime Against Property,Theft from Building,2,2
BARNESVILLE,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,3,3
BARNESVILLE,MD,Crime Against Society,All Other Offenses,27,27
BARNESVILLE,MD,Crime Against Society,Driving Under the Influence,1,1
BARNESVILLE,MD,Crime Against Society,Drug Equipment Violations,1,1
BARNESVILLE,MD,Crime Against Society,Drug/Narcotic Violations,12,12
BARNESVILLE,MD,Crime Against Society,Liquor Law Violations,2,2
BARNESVILLE,MD,Crime Against Society,Pornography/Obscene Material,1,1
BEALLSVILLE,MD,Crime Against Person,Simple Assault,5,5
BEALLSVILLE,MD,Crime Against Property,All other Larceny,5,5
BEALLSVILLE,MD,Crime Against Property,Burglary/Breaking and Entering,2,2
BEALLSVILLE,MD,Crime Against Property,Counterfeiting/Forgery,1,1
BEALLSVILLE,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,2,2
BEALLSVILLE,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,3,3
BEALLSVILLE,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,2,2
BEALLSVILLE,MD,Crime Against Property,Identity Theft,1,1
BEALLSVILLE,MD,Crime Against Property,Impersonation,1,1
BEALLSVILLE,MD,Crime Against Property,Motor Vehicle Theft,3,3
BEALLSVILLE,MD,Crime Against Property,Theft From Motor Vehicle,7,7
BEALLSVILLE,MD,Crime Against Property,Wire Fraud,1,1
BEALLSVILLE,MD,Crime Against Society,All Other Offenses,23,23
BEALLSVILLE,MD,Crime Against Society,Driving Under the Influence,3,3
BEALLSVILLE,MD,Crime Against Society,Drug/Narcotic Violations,2,2
BELTSVILLE,MD,Crime Against Not a Crime,Runaway,1,1
BELTSVILLE,MD,Crime Against Person,Aggravated Assault,7,7
BELTSVILLE,MD,Crime Against Person,Forcible Rape,3,2
BELTSVILLE,MD,Crime Against Person,Simple Assault,19,19
BELTSVILLE,MD,Crime Against Property,All other Larceny,2,2
BELTSVILLE,MD,Crime Against Property,Burglary/Breaking and Entering,18,18
BELTSVILLE,MD,Crime Against Property,Counterfeiting/Forgery,1,1
BELTSVILLE,MD,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,1,1
BELTSVILLE,MD,Crime Against Property,Destruction/Damage/Vandalism of Property,6,6
BELTSVILLE,MD,Crime Against Property,False Pretenses/Swindle/Confidence Game,1,1
BELTSVILLE,MD,Crime Against Property,Identity Theft,3,3
BELTSVILLE,MD,Crime Against Property,Motor Vehicle Theft,11,11
BELTSVILLE,MD,Crime Against Property,Shoplifting,3,3
BELTSVILLE,MD,Crime Against Property,Theft from Building,3,3
BELTSVILLE,MD,Crime Against Property,Theft From Motor Vehicle,5,5
BELTSVILLE,MD,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,3,3
BELTSVILLE,MD,Crime Against Society,All Other Offenses,37,37
BELTSVILLE,MD,Crime Against Society,Disorderly Conduct,1,1
BELTSVILLE,MD,Crime Against Society,Driving Under the Influence,2,2
BELTSVILLE,MD,Crime Against Society,Drug/Narcotic Violations,2,2
BELTSVILLE,MD,Crime Against Society,Trespass of Real Property,2,2
BELTSVILLE,MD,Crime Against Society,Weapon Law Violations,1,1
BETHESDA,MD,Crime Against Not a Crime,Runaway,528,528
BETHESDA,MD,Crime Against Person,Aggravated Assault,198,197
