City,State,day_number,day_of_week,hour_of_day,total_incidents,total_victims
ASHTON,MD,1,Sunday,0,8,8.0
ASHTON,MD,1,Sunday,1,1,1.0
ASHTON,MD,1,Sunday,2,4,4.0
ASHTON,MD,1,Sunday,3,1,1.0
ASHTON,MD,1,Sunday,5,1,1.0
ASHTON,MD,1,Sunday,6,1,1.0
ASHTON,MD,1,Sunday,7,2,2.0
ASHTON,MD,1,Sunday,8,1,1.0
ASHTON,MD,1,Sunday,9,3,3.0
ASHTON,MD,1,Sunday,10,2,2.0
ASHTON,MD,1,Sunday,11,2,2.0
ASHTON,MD,1,Sunday,12,5,5.0
ASHTON,MD,1,Sunday,13,2,2.0
ASHTON,MD,1,Sunday,14,3,4.0
ASHTON,MD,1,Sunday,15,2,2.0
ASHTON,MD,1,Sunday,16,3,3.0
ASHTON,MD,1,Sunday,17,7,7.0
ASHTON,MD,1,Sunday,18,4,5.0
ASHTON,MD,1,Sunday,19,1,1.0
ASHTON,MD,1,Sunday,20,2,2.0
ASHTON,MD,1,Sunday,21,2,2.0
ASHTON,MD,1,Sunday,22,4,4.0
ASHTON,MD,1,Sunday,23,1,1.0
ASHTON,MD,2,Monday,0,12,12.0
ASHTON,MD,2,Monday,1,2,2.0
ASHTON,MD,2,Monday,2,1,1.0
ASHTON,MD,2,Monday,7,2,2.0
ASHTON,MD,2,Monday,8,4,4.0
ASHTON,MD,2,Monday,9,3,3.0
ASHTON,MD,2,Monday,10,6,6.0
ASHTON,MD,2,Monday,11,4,4.0
ASHTON,MD,2,Monday,12,11,11.0
ASHTON,MD,2,Monday,13,1,1.0
ASHTON,MD,2,Monday,14,1,1.0
ASHTON,MD,2,Monday,15,7,7.0
ASHTON,MD,2,Monday,16,6,7.0
ASHTON,MD,2,Monday,17,5,5.0
ASHTON,MD,2,Monday,18,3,3.0
ASHTON,MD,2,Monday,19,2,3.0
ASHTON,MD,2,Monday,20,5,5.0
ASHTON,MD,2,Monday,21,4,4.0
ASHTON,MD,2,Monday,22,3,3.0
ASHTON,MD,2,Monday,23,2,2.0
ASHTON,MD,3,Tuesday,0,6,6.0
ASHTON,MD,3,Tuesday,1,3,4.0
ASHTON,MD,3,Tuesday,3,1,1.0
ASHTON,MD,3,Tuesday,4,2,2.0
ASHTON,MD,3,Tuesday,8,1,1.0
ASHTON,MD,3,Tuesday,9,4,4.0
ASHTON,MD,3,Tuesday,10,5,5.0
ASHTON,MD,3,Tuesday,11,3,3.0
ASHTON,MD,3,Tuesday,12,9,10.0
ASHTON,MD,3,Tuesday,13,9,9.0
ASHTON,MD,3,Tuesday,14,4,4.0
ASHTON,MD,3,Tuesday,15,3,3.0
ASHTON,MD,3,Tuesday,16,8,8.0
ASHTON,MD,3,Tuesday,17,5,5.0
ASHTON,MD,3,Tuesday,18,7,7.0
ASHTON,MD,3,Tuesday,19,2,2.0
ASHTON,MD,3,Tuesday,20,6,6.0
ASHTON,MD,3,Tuesday,21,6,6.0
ASHTON,MD,3,Tuesday,22,2,2.0
ASHTON,MD,3,Tuesday,23,4,4.0
ASHTON,MD,4,Wednesday,0,4,4.0
ASHTON,MD,4,Wednesday,1,1,1.0
ASHTON,MD,4,Wednesday,3,5,5.0
ASHTON,MD,4,Wednesday,5,1,1.0
ASHTON,MD,4,Wednesday,6,3,3.0
