district_number,district_name,crime_category_primary,crime_category_secondary,offense_count,incident_count,total_victims
1D,ROCKVILLE,Crime Against Not a Crime,Justifiable Homicide,3,3,3.0
1D,ROCKVILLE,Crime Against Not a Crime,Runaway,447,447,447.0
1D,ROCKVILLE,Crime Against Person,Aggravated Assault,720,715,819.0
1D,ROCKVILLE,Crime Against Person,Forcible Fondling,391,391,410.0
1D,ROCKVILLE,Crime Against Person,Forcible Rape,538,458,552.0
1D,ROCKVILLE,Crime Against Person,"Human Trafficking, Commercial Sex Acts",29,29,30.0
1D,ROCKVILLE,Crime Against Person,"Human Trafficking, Involuntary Servitude",2,2,2.0
1D,ROCKVILLE,Crime Against Person,Incest,2,2,2.0
1D,ROCKVILLE,Crime Against Person,Intimidation,112,112,125.0
1D,ROCKVILLE,Crime Against Person,Kidnapping/Abduction,15,15,16.0
1D,ROCKVILLE,Crime Against Person,Murder and Nonnegligent Manslaughter,16,16,17.0
1D,ROCKVILLE,Crime Against Person,Simple Assault,4268,4244,5121.0
1D,ROCKVILLE,Crime Against Person,Statuory Rape,18,18,18.0
1D,ROCKVILLE,Crime Against Property,All other Larceny,3287,3286,3292.0
1D,ROCKVILLE,Crime Against Property,Arson,67,64,67.0
1D,ROCKVILLE,Crime Against Property,Bribery,1,1,1.0
1D,ROCKVILLE,Crime Against Property,Burglary/Breaking and Entering,1932,1925,1939.0
1D,ROCKVILLE,Crime Against Property,Counterfeiting/Forgery,689,684,689.0
1D,ROCKVILLE,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,1175,1175,1175.0
1D,ROCKVILLE,Crime Against Property,Destruction/Damage/Vandalism of Property,4130,4112,4160.0
1D,ROCKVILLE,Crime Against Property,Embezzlement,156,156,156.0
1D,ROCKVILLE,Crime Against Property,Extortion/Blackmail,108,108,108.0
1D,ROCKVILLE,Crime Against Property,False Pretenses/Swindle/Confidence Game,1623,1619,1624.0
1D,ROCKVILLE,Crime Against Property,From Coin/Operated Machine or Device,10,10,10.0
1D,ROCKVILLE,Crime Against Property,Hacking/Computer Invasion,15,15,15.0
1D,ROCKVILLE,Crime Against Property,Identity Theft,2055,2055,2055.0
1D,ROCKVILLE,Crime Against Property,Impersonation,286,286,286.0
1D,ROCKVILLE,Crime Against Property,Motor Vehicle Theft,1736,1733,1737.0
1D,ROCKVILLE,Crime Against Property,Pocket/picking,129,129,129.0
1D,ROCKVILLE,Crime Against Property,Purse-snatching,53,53,53.0
1D,ROCKVILLE,Crime Against Property,Robbery,450,447,452.0
1D,ROCKVILLE,Crime Against Property,Shoplifting,3309,3309,3316.0
1D,ROCKVILLE,Crime Against Property,Stolen Property Offenses,24,23,24.0
1D,ROCKVILLE,Crime Against Property,Theft from Building,2586,2586,2586.0
1D,ROCKVILLE,Crime Against Property,Theft From Motor Vehicle,4272,4272,4275.0
1D,ROCKVILLE,Crime Against Property,Theft of Motor Vehicle Parts or Accessories,1397,1397,1397.0
1D,ROCKVILLE,Crime Against Property,Welfare Fraud,5,5,5.0
1D,ROCKVILLE,Crime Against Property,Wire Fraud,74,74,74.0
1D,ROCKVILLE,Crime Against Society,All Other Offenses,21159,20993,21206.0
1D,ROCKVILLE,Crime Against Society,Animal Cruelty,15,15,15.0
1D,ROCKVILLE,Crime Against Society,Assisting or Promoting Prostitution,47,46,48.0
1D,ROCKVILLE,Crime Against Society,Curfew/Loitering/Vagrancy Violations,3,3,3.0
1D,ROCKVILLE,Crime Against Society,Disorderly Conduct,963,945,989.0
1D,ROCKVILLE,Crime Against Society,Driving Under the Influence,2260,2252,2263.0
1D,ROCKVILLE,Crime Against Society,Drug Equipment Violations,334,334,334.0
1D,ROCKVILLE,Crime Against Society,Drug/Narcotic Violations,3017,2819,3018.0
1D,ROCKVILLE,Crime Against Society,"Family Offenses, NonViolent",133,133,135.0
1D,ROCKVILLE,Crime Against Society,Liquor Law Violations,824,820,824.0
1D,ROCKVILLE,Crime Against Society,Pornography/Obscene Material,815,807,815.0
1D,ROCKVILLE,Crime Against Society,Prostitution,91,91,92.0
1D,ROCKVILLE,Crime Against Society,Trespass of Real Property,1148,1148,1152.0
1D,ROCKVILLE,Crime Against Society,Weapon Law Violations,341,330,345.0
2D,BETHESDA,Crime Against Not a Crime,Runaway,822,822,825.0
2D,BETHESDA,Crime Against Person,Aggravated Assault,516,514,605.0
2D,BETHESDA,Crime Against Person,Forcible Fondling,305,304,327.0
2D,BETHESDA,Crime Against Person,Forcible Rape,448,381,453.0
2D,BETHESDA,Crime Against Person,"Human Trafficking, Commercial Sex Acts",4,4,4.0
2D,BETHESDA,Crime Against Person,Incest,2,2,2.0
2D,BETHESDA,Crime Against Person,Intimidation,120,120,132.0
2D,BETHESDA,Crime Against Person,Kidnapping/Abduction,9,9,9.0
2D,BETHESDA,Crime Against Person,Murder and Nonnegligent Manslaughter,17,17,17.0
2D,BETHESDA,Crime Against Person,Negligent Manslaughter,1,1,1.0
2D,BETHESDA,Crime Against Person,Simple Assault,4075,4060,4853.0
2D,BETHESDA,Crime Against Person,Statuory Rape,9,9,9.0
