district_number,district_name,place,total_incidents,total_victims
1D,ROCKVILLE,Air/Bus/Train/Metro Terminal,246,252.0
1D,ROCKVILLE,Amusement Park,3,4.0
1D,ROCKVILLE,Arena/Stadium/Fairgrounds/Coliseum,2,2.0
1D,ROCKVILLE,Atm Separate From Bank,3,3.0
1D,ROCKVILLE,Auto Dealership,399,401.0
1D,ROCKVILLE,Auto Repair,272,273.0
1D,ROCKVILLE,Bank - ATM,269,269.0
1D,ROCKVILLE,Bank/S&L/Credit Union,268,268.0
1D,ROCKVILLE,Bar/Night Club,158,176.0
1D,ROCKVILLE,Camp / Campground,3,3.0
1D,ROCKVILLE,Check Cashing Est.,3,3.0
1D,ROCKVILLE,Church/Synagogue/Temple,153,156.0
1D,ROCKVILLE,Commercial - Industrial park,160,161.0
1D,ROCKVILLE,Commercial - Office Building,1101,1113.0
1D,ROCKVILLE,Community Center,46,48.0
1D,ROCKVILLE,Construction Site,121,122.0
1D,ROCKVILLE,Convenience Store,597,601.0
1D,ROCKVILLE,Cyberspace,266,266.0
1D,ROCKVILLE,Daycare Facility,16,16.0
1D,ROCKVILLE,Dock/Wharf/Freight/Modal Terminal,2,2.0
1D,ROCKVILLE,Doctor/Dentist/Vet Office,177,177.0
1D,ROCKVILLE,Farm Facility,18,18.0
1D,ROCKVILLE,Field/ Open Space,64,66.0
1D,ROCKVILLE,Gas Station,320,325.0
1D,ROCKVILLE,Golf Course,40,40.0
1D,ROCKVILLE,Government Building,2765,2776.0
1D,ROCKVILLE,Grocery/Supermarket,1299,1308.0
1D,ROCKVILLE,Hospital/Emergency Care Center,156,159.0
1D,ROCKVILLE,Hotel/Motel/Etc.,790,814.0
1D,ROCKVILLE,Industrial Site,8,8.0
1D,ROCKVILLE,Jail/Prison,436,438.0
1D,ROCKVILLE,Lake/Waterway,14,14.0
1D,ROCKVILLE,Laundromat,24,24.0
1D,ROCKVILLE,Library,188,188.0
1D,ROCKVILLE,Liquor Store - Beer & Wine,189,190.0
1D,ROCKVILLE,Liquor Store - County,223,223.0
1D,ROCKVILLE,Nursery,4,4.0
1D,ROCKVILLE,Other/Unknown,8642,8657.0
1D,ROCKVILLE,Park,605,626.0
1D,ROCKVILLE,Parking Garage - Commercial,421,426.0
1D,ROCKVILLE,Parking Garage - County,31,31.0
1D,ROCKVILLE,Parking Garage - Metro,37,37.0
1D,ROCKVILLE,Parking Garage - Other,124,125.0
1D,ROCKVILLE,Parking Garage - Residential,727,730.0
1D,ROCKVILLE,Parking Lot - Church,44,44.0
1D,ROCKVILLE,Parking Lot - Commercial,2359,2402.0
1D,ROCKVILLE,Parking Lot - County,134,134.0
1D,ROCKVILLE,Parking Lot - Metro,167,175.0
1D,ROCKVILLE,Parking Lot - Other,463,469.0
1D,ROCKVILLE,Parking Lot - Park & Ride,7,7.0
1D,ROCKVILLE,Parking Lot - Rec Center,75,75.0
1D,ROCKVILLE,Parking Lot - Residential,1992,2021.0
1D,ROCKVILLE,Parking Lot - School,148,151.0
1D,ROCKVILLE,Pawn Shop,4,4.0
1D,ROCKVILLE,Pedestrian Tunnel,7,7.0
1D,ROCKVILLE,Pool,89,91.0
1D,ROCKVILLE,Recreation Center,257,264.0
1D,ROCKVILLE,Rental Storage Facility,108,108.0
1D,ROCKVILLE,Residence - Apartment/Condo,4386,4580.0
1D,ROCKVILLE,Residence - Apt Ofc/Storage,146,148.0
1D,ROCKVILLE,Residence - Carport,33,33.0
1D,ROCKVILLE,Residence - Driveway,1995,2006.0
1D,ROCKVILLE,Residence - Garage,218,221.0
1D,ROCKVILLE,Residence - Mobile Home,14,15.0
1D,ROCKVILLE,Residence - Nursing Home,418,423.0
1D,ROCKVILLE,Residence - Other,830,845.0
1D,ROCKVILLE,Residence - Shed,63,63.0
1D,ROCKVILLE,Residence - Single Family,7468,7683.0
1D,ROCKVILLE,Residence - Yard,695,711.0
1D,ROCKVILLE,Residence -Townhouse/Duplex,1757,1833.0
1D,ROCKVILLE,Rest Area,2,2.0
1D,ROCKVILLE,Restaurant,1278,1300.0
1D,ROCKVILLE,Retail - Appliances/Electronics,251,252.0
1D,ROCKVILLE,Retail - Beauty/Barber Shop,91,91.0
1D,ROCKVILLE,Retail - Clothing,243,244.0
1D,ROCKVILLE,Retail - Department/Discount Store,1367,1372.0
1D,ROCKVILLE,Retail - Drug Store/Pharmacy,657,660.0
1D,ROCKVILLE,Retail - Dry Cleaner,16,16.0
1D,ROCKVILLE,Retail - Hardware,30,30.0
1D,ROCKVILLE,Retail - Jewelry,24,24.0
1D,ROCKVILLE,Retail - Mall,59,59.0
1D,ROCKVILLE,Retail - Other,1101,1109.0
1D,ROCKVILLE,Retail - Salon/Spa,79,79.0
1D,ROCKVILLE,Retail - Sporting Goods,66,66.0
1D,ROCKVILLE,Retail - Video Store,6,6.0
1D,ROCKVILLE,School - College/University,49,49.0
1D,ROCKVILLE,School - Elementary/Secondary,1033,1057.0
1D,ROCKVILLE,School/College - DO NOT USE,902,914.0
1D,ROCKVILLE,Shelter-Mission/Homeless,104,106.0
1D,ROCKVILLE,Street - Alley,38,40.0
1D,ROCKVILLE,Street - Bus Stop,387,389.0
1D,ROCKVILLE,Street - Commercial,959,994.0
1D,ROCKVILLE,Street - In vehicle,3944,3962.0
1D,ROCKVILLE,Street - Other,1127,1146.0
1D,ROCKVILLE,Street - Residential,2882,2915.0
1D,ROCKVILLE,Theater,29,29.0
1D,ROCKVILLE,Wooded Area,128,130.0
2D,BETHESDA,Abandoned/Condemned Structures,13,13.0
2D,BETHESDA,Air/Bus/Train/Metro Terminal,151,154.0
2D,BETHESDA,Amusement Park,1,1.0
2D,BETHESDA,Arena/Stadium/Fairgrounds/Coliseum,2,2.0
2D,BETHESDA,Atm Separate From Bank,3,3.0
2D,BETHESDA,Auto Dealership,356,360.0
2D,BETHESDA,Auto Repair,90,91.0
2D,BETHESDA,Bank - ATM,318,318.0
2D,BETHESDA,Bank/S&L/Credit Union,335,335.0
2D,BETHESDA,Bar/Night Club,235,258.0
2D,BETHESDA,Camp / Campground,2,3.0
2D,BETHESDA,Check Cashing Est.,4,4.0
2D,BETHESDA,Church/Synagogue/Temple,179,179.0
2D,BETHESDA,Commercial - Industrial park,68,68.0
2D,BETHESDA,Commercial - Office Building,1144,1145.0
2D,BETHESDA,Community Center,33,33.0
2D,BETHESDA,Construction Site,222,222.0
2D,BETHESDA,Convenience Store,583,591.0
2D,BETHESDA,Cyberspace,431,431.0
2D,BETHESDA,Daycare Facility,8,8.0
2D,BETHESDA,Dock/Wharf/Freight/Modal Terminal,1,1.0
2D,BETHESDA,Doctor/Dentist/Vet Office,249,253.0
2D,BETHESDA,Field/ Open Space,32,33.0
2D,BETHESDA,Gas Station,279,284.0
2D,BETHESDA,Golf Course,49,50.0
2D,BETHESDA,Government Building,422,425.0
2D,BETHESDA,Grocery/Supermarket,1248,1264.0
2D,BETHESDA,Hospital/Emergency Care Center,432,453.0
2D,BETHESDA,Hotel/Motel/Etc.,459,470.0
2D,BETHESDA,Industrial Site,2,2.0
2D,BETHESDA,Jail/Prison,15,15.0
2D,BETHESDA,Lake/Waterway,13,13.0
2D,BETHESDA,Laundromat,7,8.0
2D,BETHESDA,Library,70,73.0
2D,BETHESDA,Liquor Store - Beer & Wine,137,138.0
2D,BETHESDA,Liquor Store - County,114,114.0
2D,BETHESDA,Military Installation,9,9.0
2D,BETHESDA,Nursery,6,6.0
2D,BETHESDA,Other/Unknown,6851,6855.0
2D,BETHESDA,Park,200,205.0
2D,BETHESDA,Parking Garage - Commercial,679,687.0
2D,BETHESDA,Parking Garage - County,427,428.0
2D,BETHESDA,Parking Garage - Metro,49,49.0
2D,BETHESDA,Parking Garage - Other,138,139.0
2D,BETHESDA,Parking Garage - Residential,1030,1035.0
2D,BETHESDA,Parking Lot - Church,61,61.0
2D,BETHESDA,Parking Lot - Commercial,1688,1715.0
2D,BETHESDA,Parking Lot - County,89,93.0
2D,BETHESDA,Parking Lot - Metro,53,54.0
2D,BETHESDA,Parking Lot - Other,340,343.0
2D,BETHESDA,Parking Lot - Park & Ride,8,8.0
2D,BETHESDA,Parking Lot - Rec Center,66,66.0
2D,BETHESDA,Parking Lot - Residential,2747,2760.0
2D,BETHESDA,Parking Lot - School,152,154.0
2D,BETHESDA,Pawn Shop,4,4.0
2D,BETHESDA,Pedestrian Tunnel,2,2.0
2D,BETHESDA,Pool,39,39.0
2D,BETHESDA,Recreation Center,240,242.0
2D,BETHESDA,Rental Storage Facility,107,108.0
2D,BETHESDA,Residence - Apartment/Condo,6244,6465.0
2D,BETHESDA,Residence - Apt Ofc/Storage,311,313.0
2D,BETHESDA,Residence - Carport,35,35.0
2D,BETHESDA,Residence - Driveway,3183,3186.0
2D,BETHESDA,Residence - Garage,231,231.0
2D,BETHESDA,Residence - Mobile Home,1,1.0
2D,BETHESDA,Residence - Nursing Home,597,613.0
2D,BETHESDA,Residence - Other,1160,1173.0
2D,BETHESDA,Residence - Shed,56,56.0
2D,BETHESDA,Residence - Single Family,8569,8709.0
2D,BETHESDA,Residence - Yard,606,611.0
2D,BETHESDA,Residence -Townhouse/Duplex,778,808.0
2D,BETHESDA,Rest Area,1,1.0
2D,BETHESDA,Restaurant,1300,1328.0
2D,BETHESDA,Retail - Appliances/Electronics,246,247.0
2D,BETHESDA,Retail - Beauty/Barber Shop,197,197.0
2D,BETHESDA,Retail - Clothing,822,823.0
