district_number,district_name,year_number,month_number,month_period,total_incidents,total_victims
1D,ROCKVILLE,2016,7,2016-07,497,503.0
1D,ROCKVILLE,2016,8,2016-08,462,474.0
1D,ROCKVILLE,2016,9,2016-09,543,549.0
1D,ROCKVILLE,2016,10,2016-10,561,567.0
1D,ROCKVILLE,2016,11,2016-11,499,506.0
1D,ROCKVILLE,2016,12,2016-12,500,504.0
1D,ROCKVILLE,2017,1,2017-01,563,566.0
1D,ROCKVILLE,2017,2,2017-02,509,520.0
1D,ROCKVILLE,2017,3,2017-03,570,573.0
1D,ROCKVILLE,2017,4,2017-04,479,490.0
1D,ROCKVILLE,2017,5,2017-05,589,595.0
1D,ROCKVILLE,2017,6,2017-06,666,675.0
1D,ROCKVILLE,2017,7,2017-07,588,595.0
1D,ROCKVILLE,2017,8,2017-08,645,652.0
1D,ROCKVILLE,2017,9,2017-09,569,576.0
1D,ROCKVILLE,2017,10,2017-10,648,656.0
1D,ROCKVILLE,2017,11,2017-11,635,640.0
1D,ROCKVILLE,2017,12,2017-12,599,610.0
1D,ROCKVILLE,2018,1,2018-01,564,571.0
1D,ROCKVILLE,2018,2,2018-02,506,510.0
1D,ROCKVILLE,2018,3,2018-03,523,528.0
1D,ROCKVILLE,2018,4,2018-04,602,604.0
1D,ROCKVILLE,2018,5,2018-05,585,589.0
1D,ROCKVILLE,2018,6,2018-06,621,627.0
1D,ROCKVILLE,2018,7,2018-07,625,635.0
1D,ROCKVILLE,2018,8,2018-08,586,591.0
1D,ROCKVILLE,2018,9,2018-09,572,576.0
1D,ROCKVILLE,2018,10,2018-10,596,609.0
1D,ROCKVILLE,2018,11,2018-11,518,524.0
1D,ROCKVILLE,2018,12,2018-12,568,580.0
1D,ROCKVILLE,2019,1,2019-01,558,564.0
1D,ROCKVILLE,2019,2,2019-02,492,499.0
1D,ROCKVILLE,2019,3,2019-03,583,593.0
1D,ROCKVILLE,2019,4,2019-04,552,557.0
1D,ROCKVILLE,2019,5,2019-05,611,616.0
1D,ROCKVILLE,2019,6,2019-06,558,566.0
1D,ROCKVILLE,2019,7,2019-07,612,615.0
1D,ROCKVILLE,2019,8,2019-08,603,606.0
1D,ROCKVILLE,2019,9,2019-09,539,542.0
1D,ROCKVILLE,2019,10,2019-10,554,560.0
1D,ROCKVILLE,2019,11,2019-11,549,557.0
1D,ROCKVILLE,2019,12,2019-12,553,558.0
1D,ROCKVILLE,2020,1,2020-01,582,585.0
1D,ROCKVILLE,2020,2,2020-02,565,570.0
1D,ROCKVILLE,2020,3,2020-03,521,532.0
1D,ROCKVILLE,2020,4,2020-04,378,383.0
1D,ROCKVILLE,2020,5,2020-05,553,562.0
1D,ROCKVILLE,2020,6,2020-06,467,482.0
1D,ROCKVILLE,2020,7,2020-07,484,489.0
1D,ROCKVILLE,2020,8,2020-08,471,480.0
1D,ROCKVILLE,2020,9,2020-09,495,507.0
1D,ROCKVILLE,2020,10,2020-10,465,468.0
